xlong,ylat
-101.53989,35.953
-102.09171,30.91694
-102.09029,30.9371
-102.13659,30.9416
-102.12849,30.9279
-102.16019,30.92961
-102.0986,30.9285
-102.15196,30.93447
-102.12529,30.9308
-102.12139,30.91769
-102.12711,30.93634
-102.13449,30.9306
-102.15553,30.92477
-102.15871,30.95086
-102.13663,30.94404
-102.09269,30.9359
-102.15579,30.9395
-102.15071,30.9355
-102.14033,30.93985
-102.09036,30.91774
-102.14942,30.93642
-102.12651,30.92868
-102.12516,30.91654
-102.11849,30.9194
-102.15429,30.9409
-102.11529,30.92119
-102.13072,30.92363
-102.14499,30.9397
-102.10673,30.92057
-102.15889,30.94623
-102.11993,30.91855
-102.12279,30.9168
-102.15659,30.9544
-102.15679,30.92399
-102.15809,30.92329
-102.14424,30.92325
-102.15939,30.92254
-102.09271,30.93364
-102.12106,30.93396
-102.12419,30.9325
-102.09393,30.91657
-102.10069,30.9259
-102.1387,30.9408
-102.09819,30.9155
-102.14219,30.93959
-102.15527,30.95522
-102.12239,30.9332
-102.15339,30.9338
-102.13069,30.9169
-102.08806,30.92007
-102.1493,30.94563
-102.09689,30.93259
-102.09959,30.92699
-102.16032,30.94109
-102.09529,30.9338
-102.15746,30.93127
-102.14919,30.94256
-102.13705,30.9305
-102.15473,30.93294
-102.10194,30.92486
-102.09819,30.9314
-102.10434,30.92271
-102.10309,30.9238
-102.12834,30.91674
-102.10549,30.9216
-102.15882,30.93045
-102.14939,30.9231
-102.14486,30.94606
-102.15609,30.9321
-102.11699,30.9203
-102.14619,30.9441
-102.15709,30.95239
-102.13327,30.91674
-97.73385,26.36994
-97.74348,26.37047
-97.76942,26.42161
-97.67706,26.37362
-97.76363,26.31339
-97.73932,26.42023
-97.66098,26.3694
-97.75501,26.32619
-97.69199,26.40293
-97.73225,26.38427
-97.69952,26.40513
-97.74507,26.40474
-97.75875,26.34828
-97.77444,26.42086
-97.66509,26.41143
-97.77976,26.42066
-97.73336,26.40609
-97.7243,26.3826
-97.77961,26.33275
-97.76537,26.42495
-97.76743,26.32453
-97.68357,26.38548
-97.74091,26.38472
-97.74166,26.395
-97.77084,26.33751
-97.76582,26.34746
-97.77885,26.35953
-97.75368,26.34934
-97.71205,26.40981
-97.67397,26.39666
-97.75848,26.31541
-97.77768,26.37731
-97.78359,26.30257
-97.65522,26.38016
-97.77441,26.3622
-97.67937,26.40664
-97.75829,26.40281
-97.77171,26.38026
-97.77709,26.30555
-97.76485,26.30293
-97.76446,26.33628
-97.691,26.38404
-97.68051,26.37049
-97.6683,26.37562
-97.76019,26.2828
-97.77612,26.34729
-97.79114,26.2996
-97.78919,26.30994
-97.77647,26.32026
-97.67738,26.38598
-97.70521,26.38516
-97.70517,26.39969
-97.76757,26.36379
-97.66823,26.39935
-97.77187,26.32281
-97.79491,26.29459
-97.79523,26.30884
-97.76758,26.28382
-97.68651,26.36787
-97.65506,26.37158
