p_year,t_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
2020,2720.0,90.0,116.0,10568.32,148.1,-100.65511,31.79909
2020,2720.0,90.0,116.0,10568.32,148.1,-100.67464,31.84036
2020,2720.0,90.0,116.0,10568.32,148.1,-100.6446,31.7831
2020,2720.0,90.0,116.0,10568.32,148.1,-100.58165,31.80358
2020,2720.0,90.0,116.0,10568.32,148.1,-100.62853,31.81598
2020,2720.0,90.0,116.0,10568.32,148.1,-100.62057,31.81226
2020,2720.0,90.0,116.0,10568.32,148.1,-100.55088,31.79014
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54427,31.79805
2020,2720.0,90.0,116.0,10568.32,148.1,-100.57121,31.8091
2020,2720.0,90.0,116.0,10568.32,148.1,-100.64204,31.80037
2020,2720.0,90.0,116.0,10568.32,148.1,-100.53143,31.77706
2020,2820.0,89.0,127.0,12667.69,152.4,-100.67485,31.83274
2020,2820.0,89.0,127.0,12667.69,152.4,-100.75454,31.80533
2020,2720.0,90.0,116.0,10568.32,148.1,-100.72102,31.86802
2020,2720.0,90.0,116.0,10568.32,148.1,-100.74008,31.86778
2020,2720.0,90.0,116.0,10568.32,148.1,-100.56718,31.79293
2020,2720.0,90.0,116.0,10568.32,148.1,-100.50694,31.77004
2020,2720.0,90.0,116.0,10568.32,148.1,-100.68943,31.83371
2020,2720.0,90.0,116.0,10568.32,148.1,-100.63641,31.78307
2020,2720.0,90.0,116.0,10568.32,148.1,-100.53671,31.77787
2020,2720.0,90.0,116.0,10568.32,148.1,-100.54367,31.7851
2020,2720.0,90.0,116.0,10568.32,148.1,-100.52391,31.7572
2020,2720.0,90.0,116.0,10568.32,148.1,-100.68373,31.81086
2020,2720.0,90.0,116.0,10568.32,148.1,-100.62756,31.78398
2020,2820.0,89.0,127.0,12667.69,152.4,-100.61554,31.78311
2020,2720.0,90.0,116.0,10568.32,148.1,-100.6708,31.79923
