ylat,xlong,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
32.89984,-101.00745,13.172733,7.364068,25.927923,7.3464375,192.32414,87.97694
32.91722,-100.99763,13.120732,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.85951,-100.99714,13.317674,7.3448462,25.99455,7.215396,190.87709,89.72531
32.9417,-100.99524,13.465234,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.90414,-100.98074,13.205233,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.89058,-100.99345,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
32.85933,-100.9876,13.278673,7.3448462,25.99455,7.215396,190.87709,89.72531
32.89611,-100.95322,13.103004,7.324728,26.059721,7.132912,193.01482,88.75586
32.86139,-100.98389,13.272175,7.3448462,25.99455,7.215396,190.87709,89.72531
32.90257,-101.02573,13.231234,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.90727,-100.94894,13.087881,7.3503857,26.009777,7.4329624,193.15659,88.495895
32.86629,-100.97324,13.194173,7.344846,25.99455,7.215396,190.87709,89.72531
32.88414,-101.02978,13.155172,7.344846,25.99455,7.215396,190.87709,89.72531
32.92222,-100.96788,13.133384,7.3503857,26.009777,7.4329624,193.15659,88.495895
32.87843,-100.96858,13.246174,7.344846,25.99455,7.215396,190.87709,89.72531
32.86588,-100.96838,13.226675,7.344846,25.99455,7.215396,190.87709,89.72531
32.90326,-100.97714,13.250732,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.89035,-100.99703,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
32.89029,-101.00077,13.129174,7.344846,25.99455,7.215396,190.87709,89.72531
32.90592,-100.98793,13.146733,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.86426,-100.95131,13.337006,7.324728,26.059721,7.132912,193.01482,88.75586
32.91259,-101.02397,13.153234,7.364068,25.927923,7.3464375,192.32414,87.97694
32.92171,-101.00922,13.159734,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.88121,-101.01872,13.278673,7.3448462,25.99455,7.215396,190.87709,89.72531
32.90599,-101.01402,13.127233,7.364068,25.927923,7.3464375,192.32414,87.97694
32.94153,-100.99144,13.374233,7.364068,25.927923,7.3464375,192.32414,87.97694
32.90717,-100.95647,13.081383,7.350386,26.009777,7.4329624,193.15659,88.495895
32.85054,-100.96442,13.239674,7.344846,25.99455,7.215396,190.87709,89.72531
32.8652,-100.95535,13.291505,7.3247285,26.059721,7.132912,193.01482,88.75586
32.89691,-100.94555,13.1810055,7.324728,26.059721,7.132912,193.01482,88.75586
32.90597,-100.96391,13.120383,7.350386,26.009777,7.4329624,193.15659,88.495895
32.89632,-100.94943,13.1290045,7.324728,26.059721,7.132912,193.01482,88.75586
32.90463,-101.04857,13.270233,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.88242,-100.93641,13.265506,7.3247285,26.059721,7.132912,193.01482,88.75586
