p_year,t_cap,t_hh,t_rd,xlong,ylat,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
2017,2300.0,80.0,116.0,-101.01435,32.89235,13.246174,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.94185,32.89902,13.168007,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.98509,32.88966,13.148674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.96065,32.88151,13.246007,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.97222,32.84913,13.330674,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.99155,32.85946,13.304674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.98627,32.87582,13.181173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.01299,32.88123,13.285173,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.01276,32.92209,13.101233,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-101.00745,32.89984,13.172733,7.364068,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99763,32.91722,13.120732,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99714,32.85951,13.317674,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.99524,32.9417,13.465234,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.98074,32.90414,13.205233,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99345,32.89058,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.9876,32.85933,13.278673,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.95322,32.89611,13.103004,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.98389,32.86139,13.272175,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.02573,32.90257,13.231234,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.94894,32.90727,13.087881,7.3503857,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.97324,32.86629,13.194173,7.344846,25.99455,7.215396,190.87709,89.72531
